0: 	0.001836
1: 	0.012952
2: 	0.043546
3: 	0.094966
4: 	0.153840
5: 	0.198952
6: 	0.212337
7: 	0.187133
8: 	0.129890
9: 	0.057396
10: 	-0.009993
11: 	-0.055589
12: 	-0.071482
13: 	-0.060001
14: 	-0.031487
15: 	0.000317
16: 	0.023353
17: 	0.030976
18: 	0.023261
19: 	0.005801
20: 	-0.013200
21: 	-0.026266
22: 	-0.029193
23: 	-0.022049
24: 	-0.008509
25: 	0.005979
26: 	0.016376
27: 	0.019761
28: 	0.016044
29: 	0.007590
30: 	-0.001971
31: 	-0.009183
32: 	-0.011939
33: 	-0.010003
34: 	-0.004803
35: 	0.001319
36: 	0.006063
37: 	0.007968
38: 	0.006789
39: 	0.003401
40: 	-0.000683
41: 	-0.003931
42: 	-0.005335
43: 	-0.004682
44: 	-0.002507
45: 	0.000203
46: 	0.002426
47: 	0.003464
48: 	0.003136
49: 	0.001765
50: 	-0.000011
51: 	-0.001512
52: 	-0.002256
53: 	-0.002099
54: 	-0.001233
55: 	-0.000067
56: 	0.000946
57: 	0.001476
58: 	0.001411
59: 	0.000865
60: 	0.000099
61: 	-0.000584
62: 	-0.000961
63: 	-0.000945
64: 	-0.000603
65: 	-0.000102
66: 	0.000358
67: 	0.000623
68: 	0.000631
69: 	0.000418
70: 	0.000091
71: 	-0.000218
72: 	-0.000404
73: 	-0.000421
74: 	-0.000288
75: 	-0.000076
76: 	0.000131
77: 	0.000261
78: 	0.000280
79: 	0.000199
80: 	0.000060
81: 	-0.000078
82: 	-0.000168
83: 	-0.000186
84: 	-0.000136
85: 	-0.000047
86: 	0.000046
87: 	0.000108
88: 	0.000123
89: 	0.000093
90: 	0.000035
91: 	-0.000026
92: 	-0.000069
93: 	-0.000082
94: 	-0.000064
95: 	-0.000026
96: 	0.000015
97: 	0.000044
98: 	0.000054
99: 	0.000043
